ID_CZASTECZKI, CORD_X, CORD_Y
Czasteczka nr. 116, 1.312352, 0.800725
Czasteczka nr. 117, 1.563338, 1.211318
Czasteczka nr. 118, 3.035201, 0.706505
Czasteczka nr. 119, 0.531857, 1.496514
Czasteczka nr. 120, 1.671223, 1.007282
Czasteczka nr. 121, 1.990621, 1.210740
Czasteczka nr. 122, 1.060218, 1.971614
Czasteczka nr. 123, 1.887720, 3.053029
Czasteczka nr. 124, 1.811394, 1.338651
Czasteczka nr. 125, 1.917866, 1.442901
Czasteczka nr. 126, 2.113777, 1.380149
Czasteczka nr. 127, 1.553860, 1.637821
Czasteczka nr. 128, 2.476471, 1.613805
Czasteczka nr. 129, 0.834059, 1.405431
Czasteczka nr. 130, 1.947281, 1.438706
Czasteczka nr. 131, 1.792564, 1.684890
Czasteczka nr. 132, 1.532065, 1.799859
Czasteczka nr. 133, 1.635841, 1.405655
Czasteczka nr. 134, 2.126390, 1.064524
Czasteczka nr. 135, 1.717933, 1.622266
Czasteczka nr. 136, 1.813509, 1.693061
Czasteczka nr. 137, 1.372480, 1.772777
Czasteczka nr. 138, 1.895972, 1.254624
Czasteczka nr. 139, 1.416843, 1.306828
Czasteczka nr. 140, 1.990446, 1.466367
Czasteczka nr. 141, 2.306318, 0.797684
Czasteczka nr. 142, 1.466024, 1.652191
Czasteczka nr. 143, 1.762752, 1.669783
Czasteczka nr. 144, 1.860382, 1.138365
Czasteczka nr. 145, 1.522933, 1.420431
Czasteczka nr. 146, 1.782525, 1.628147
Czasteczka nr. 147, 1.578361, 1.129033
Czasteczka nr. 148, 1.888135, 1.378319
Czasteczka nr. 149, 2.446007, 1.300263
Czasteczka nr. 150, 1.748307, 1.329554
Czasteczka nr. 151, 2.198698, 1.593303
Czasteczka nr. 152, 1.602473, 1.189137
Czasteczka nr. 153, 2.489625, 0.541226
Czasteczka nr. 154, 2.458664, 1.428299
Czasteczka nr. 155, 1.905062, 1.377020
Czasteczka nr. 156, 1.068299, 1.681869
